Nama,Komentar
Istana Prabu&Sultan,"Hadiah untuk seluruh rakyat Indonesia
Terimakasih Grasya Polii dan Apriani Rahayu,kami bangga 😂💪"
Adiirawan11,Saya bangga jadi anak Indonesia ❤️❤️❤️
Mujahid Muda Chanel,"Aku tak pernah meminta dirimu selalu ada di sampingku, aku hanya minta agar dirimu membalas saat online.

Dah lah 😭😭😭"
Anon,"Halohalohai, Bravoo 🔥"
Ria Hayati,"Ya Allah, kado terindah 17 Agustus 2021❤️"
Telaten Makaryo vlog,"Mantab sekali
Dapat mendali emas

Mari trendingkan chanel ini agar selalu berkembang dan bermanfaat 🔥✔️"
DESTA and POPO,Keren banget kakak dua ini bisa jadi kebanggaan Indonesia. Semoga kelak aku berdua (DESTA and POPO) juga bisa bangga in Indonesiaku tercinta amin
IMVE 360,Pahlawan olahraga masa kini. Warga Indonesia sangat bangga punya kalian! 🇲🇨
Syarifudin Don,"Siapa yg ga nangis jadi Greysia, emas Olimpiade dipenghujung karier yg mungkin dia sendiri ga percaya bisa meraih itu, Greysia leadership nya luar biasa membimbing Apriani, dan tentunya Apriani juga luar biasa dgn penuh semangat menerima masukan2 dari Greysia, selamat Greysia Apriani, Indonesia bangga memiliki kalian yg berjuang sekuat tenaga demi berkibarnya bendera merah putih di Tokyo"
Zia Alia Nugroho,"Nonton sambil berderai air mata... 
Terimakasih Grisya dan Apriani Indonesia kembali BERJAYA 🙏"
Sports Every Time,Jayalah Indonesia 🇲🇨🇲🇨❤️ Makasih Banyak Atlit Indonesia 🇲🇨
Irwan Tan,"puji Tuhan, luar biasa. Selamat untuk kemenangannya."
The Piknickers,Mantab selamat buat atlit-atlit Indonesia semoga makin sukses selalu
Anon,Merdeka....
Bola Dunia,Indonesia bangga punya kalian❤️
GilangRamadhan,Terimakasih kakak-kakak hadiah mu di ulang tahun indonesia 🙏
Aytama,Alhamdulillah tradisi emas olimpiade Indonesia tetap lanjut. Trimakasih Greysia & Apriani ♥️
RBA Channel,Terimakasih sudah membuat Indonesia Bangga👍👍👍🙏🏾🙏🏾🙏🏾😭🤗
Factasia Football,"ALHAMDULILAH EMAASSS!!
Sepak bola kapan ya bisa dapat emas?"
music dj,Alhamdulilah juara🥇🥇 kalo rejekimah ngak kemana semangak kat salam sumsel
Pica Ketek,"PUJI TUHAN, SEMANGAT TERUS TUHAN YESUS MEMBERKATI ♥️🇮🇩"
fadheela salsabyla,"Haru bahagia hari itu.. 
selamat dan terimakasih.."
NANANG PRIYANTO,"Selamat untuk Greysia P dan Apriyani R, kalian sangat membanggakan Indonesia.
Indonesia bangga punya Greysia Polii dan Apriyani Rahayu!❤️🇲🇨"
Adinda Nuril Ramadhani,"Mereka yg menang, yg bangga satu Indonesia😭
Terimakasih atas kerja kerasnya, terimakasih atas perjuangannya 💖"
Die Gaming,Manisnya kemenangan akan indah setelah pahitnya perjuangan
ai herdiani,alhamdulillah...nangis trs tiap nonton pdhl udah berulang kali
Khalid Nanut,"Nonton berulang kali,tetep bikin nangis juga"
Lolipop 90,terharu😭😭❤️❤️❤️
maria silalahi,"That ""tidak ada yang mustahil bagi Tuhan"" ""Doa kita didengar"" Bikin merinding. Aaa congratsss"
thatho father,"Hadiah terindah bwt ulang tahun indonesiaku, slmt bwt greysia polli dan apriyani rahayu🙏"
Mas Kliwon,Merinding rasanya ❤️❤️❤️❤️
Tutorial Septi,"Indonesia bangga punya kalian . Aku gak bisa nonton live nya , dan nonton siaran ulang nya berkali kali . Tetep seneng banget , merasa terharu dan bangga sama kalian . 😊🥰😉🤗🤗"
Mas boy cap 70,Ikut bangga semoga semakin sukses terus kedepannya 🙏🙏🙏
Wahyu Yudha Pratama,"Merinding dan terharu saat Indonesia Raya berkumandang

Terimakasih Gres dan Apri nama kalian akan tercatat selamanya medali emas pertama ganda putri"
KOMUNITAS PURNABAKTI CHANNEL,"Detik Detik terakhir yang menegangkan, Saya bangga dengan Smangat Greysia Polli dan Apriyani Rahayu yang sudah mengharumkan Nama Bangsa Indonesi... terimakasih dan Bravo untuk Ganda Putri"
Muhammad Naufal Ramadhan,Siapa kita ......... Indonesia 🇮🇩 🥇Terimakasih gresyia dan Apriyani Yang telah Mengukir sejarah
Marling Natsir,"Indonesia bukan kekurangan org hebat ,indonesia cuma kekurwngan org jujur aja"
Adrian niko Rehiara,Gw rasakan perjuangan kak greys dari dulu
Via Panjaitan,"Di tengah kesulitan negeri ini, Kami tetap menjunjung tinggi INDONESIA. Bergetar rasanya. Terima kasih kalian ❤️"
Zainudin Aja,"Melihat ini,tenggorokanku seperti tersangkut apel,air mataku berlinang...aku Cinta kalian ,Aku cinta Indonesia ❤️"
Logo In Namamu,Berkali kali lihat video ini tapi ikut mewek juga ♥️ #PROUD
RomanS Gaming,Alhamdulillah.. Bismillah Indonesia terus mendapatkan Kemenangan.. Saya jadi terharu
troy knight,"Pelatih  : Eng Hian
Pemain  :  Greysia & Apriyani
Inilah  contoh persatuan yang menunjukkan kekuatan Indonesia 🇲🇨🇲🇨🇲🇨
Bersatu Kita Teguh."
Lilik Listianty,KADO UNTUK HUT RI. TERIMA KASIH GREYAP TERIMA KASIH SUDAH BERJUANG. INDONESIA BANGGA SAMA KALIAN❤
Sodikin Andaya SH,"Graysia dan  apriyani bukan saja permainan dan prestasinya yang sangat hebring dan jempolan, tetapi penampilannya juga lugu, wajar, sederhana dan menarik."
Rofik Muhammad,Ikut bangga...merinding aslii woooww...
Animo Aero,Saya yakin Indonesia bisa dapat medali lebih banyak kalau sport climbing/panjat tebing & skateboard juga ikut olimpiade Tokyo .
Om Bedjo,AAAA LUUVV DAN BANGGA BANGET PUNYA INDONESIA😭💓💓
nuryati sudirman,"Salut juga pada tim lawan yg mendatangi, menyalami.
Mereka semua juara sejati.
Juara 1,2,3 mrk sgt2 fair,"
Mutiara Kartika c. Tiara,Terharu banget pls 😭❤️
Ragableg Channel,"Selamat atas kemenangan timnas Indonesia
Merdeka 🎉🎉🎉"
