Nama,Komentar
Umu Ifah,Kami banngga pada kalian. Terimah kasih Indosiar telah menayangkan kembali
EVA WIRA,"Allhamdulillah...
Sungguh perjuangan yg luar biasa. 👍🇮🇩👍"
Halifah Hastuti Triyani,"Ya Allah nangis lihatnya. 
Terharu dan bangga. 
Terima kasih tim ganda putri (Apriani dan G. Poli)"
Mualiva Channel,"Alhamdulillah luar biasa. kemaren nonton benar2 mengandung bawang.. top markotop untuk kaka2 hebat greys, Apriyani. so proud!"
Dante Putratama,Terimakasih berlinang air mata 🔥
Global Wisata,"Luar biasa semangat nya.
Sukses selalu badminton indonesia"
Puntadewa Djati,"Aku nonton ditv bangga, diulang tambah bangga😭😭😭"
reza cantik,Ya Allah .. Alhamdulillah  terharu sekali ... akhirnya indonesia meraih medali emas ganda putri .. sbg hadiah bangasa indosnesia yg sebentar lg merayakan hari kemerdekaan. Terimakasih Gresya Polli dan Apriyani Rahayu ...
Ifan Jule,"Dari dulu indonesia adalah macan dunia, dengan mempercayai kekuatan diri sendiri dan berdaulat."
Panini Head,We're so proud of greysia and apriyani😭❤
Andreja Fz,"Terima kasih Gracia Poli dan Apriani Rahayu, kami bangga dengan kalian yang menghibur rakyat Indonesia di tengah pandemi ini, terharu 😭😭 dan penuh cinta ❤️❤️ untuk kalian berdua. Terima kasih Tuhan 🙏🙏❤️❤️. Indonesia raya, merdeka merdeka tanahku negeriku yang kucinta... Hadiah istimewah HUT Kemerdekaan RI ke - 76. 👍👍"
Didi Supriyadi,"mengharukan sampe pengen nangis anjir,saking bangganya proud of you pokonamah!"
LilyMooncake,Hasil jerih payah terbayar sudah. Selamat. Kami semua bangga ! Terima kasih untuk pengorbananmu.
PHi S,"Luar biasa komentator Indosiar.. 
Hebat Bung Kus dan Bang Valent.. sampai Pak ET menteri BUMN pun ikut terhanyut gaya mereka.. 
😂👍🇲🇨"
ananda rafi nugroho,TERIMAKASIH GREY DAN APRI!!! LOVE INDONESIA
Yousoef AS,Amazing congratulation for gold medal.
Ibram Ahmad,Merinding... Kerenn.. speechless.. terharu.... The best..
Neneng Komalasari,Alhamdulillah...nereka hrs dpt bonussssss makasih sdh membanggakan indonesia
Eva Fitria,"Ikut bangga Masha Allah luar biasa tiada usaha doa yg sia sia, smua  indah pada waktunya😭"
Waratil. Nur,"Ma syaa Allah, terharu bangettt perjuangannya😭😭🙏"
A.R. Prasetio,Emas itu selalu datang di saat yg tidak terduga ( selamat buat Gres dan Apri ) kado ulang tahun buat Republik Indonesia
MU mangOle rasanya Anjim bgt,"SALUUUTEE GREYSIA POLI n APRIANI...  Disaat ganda putri yg tdk pernah difavoritkan, justru meraih Juara..."
Mama Ermabyan,"Ya allah ikutan nangis,meweeek gak berasa netes air mata aku u go girlssss salute keren grey n apri"
Hefron Hutapea,"Terimakasih buat kalian semua yg sudah berjuang di olimpic 2020,kalian luar biasa."
Yayah Yohana,Aku menangis melihat mereka mendapat medali emas kami bahagia  terima kasih Apriyani Rahayu dan Greysia kalian telah berjuang dg sekuat tenaga
Yoshua Putra,bagi Tuhan tak ada yang mustahil ❤ kado terindah buat bangsa Indonesia God bless😍😍😍😍
ZIR EDITZ,"Terimakasih sudah mengharumkan nama indonesia
Selamat kemenangannya ya🥺🤧😭"
zzihan byunie,"terharuu,we proud of you😭💗💗"
la tansa qorinanda,Selamat dan terima kasihh.  Indonesia bangga punya kalian
Bamby OnStory,"Terimakasih srikandi indonesia.. semua bangga.. menangis terharu, bangga,"
aisyah syah,"Ya allah alhamdulillah😭
Mks buat perjuangan kalian.terhura😭❤"
Barijem Prawiro,Aduh kenapa aku jadi ikutan nangis ya. Terharu senang dan bangga.😭
Andhika Naufal Ramadhani,"Selamat greyap atas pencapaian nya
Terimakasih banyak
Trending 1"
Muhamad Athoillah Shohibul Hikam,UNTUK HADIAH HUT KEMERDEKAAN INDONESIA YUK BOLEH TRENDINGKAN SAMPE TANGGAL 17 AGUSTUS🇲🇨🇲🇨🇲🇨
Mega Wati,Masyaallah bangga nya..netes air mata ku..selamat buat ganda ku indonesia
Ayu Mas Kumbara,"Nah kalau yg gini kan cocok trending ya , congratulation 👍🙏🏻
@ayumaskumbara"
Theresia Sagala,"Terimakasih buat pejuang""Indonesia 🇲🇨🇲🇨"
Lailatul Fitriyah,"alhamdulilah
Kita semua rakyat Indonesia bangga 💪💪💪 semoga kita dapat mempertahankan"
Jasmine Maddani,"Alhamdulillah,  Terimakasih... Kalian  pahlawan kami😭😭😭"
Nikken Tiah Lestari,"The winner,congrt ikut bangga dan terharu😭😇. Kado terindah dihari kemerdekaan kita...😍😍😍😍"
Agoy78 chanel,terharuu sampe mneteskan air mata ke bhagiaan
Nadin Jein,Kado terindah untuk ulang tahun indonesia❤
jmhrjaecy,Bangga bgt sumpah terimakasih buat kalian ❤
Finurr fit,"Alhamdulillah selamat GreyAp and team🇮🇩🔥 udh kuulang berkali"" ttep aja nangis bangga bgt... Sukses selalu buat semuanya"
Susi Ani,"Alhamdulillah.
Selamat. Terima kasih atas perjuangannya."
Mujahid Palestina,"Kado terindah untuk ulang tahun Indonesia 🙏🇮🇩🇮🇩🇮🇩🙏
Komentatornya LEBAY 😂"
Farida Handayani,Hadiah cantik untuk kemerdekaan RI ke 76 alhamdulillah🤲
Edi Alamsyah,"MERINDING...!!!

SO PROUD BROHH"
Fajrian Nur Rahmat,So proud of youu Greysia/Apriani  Terharu liatnyaa Ampe nangisss!!😭😭
Rifqi Nasqi,"Laga final yg bikin org jantungan, kalian berdua luarbiasa! 👏👏"
li_liaprilia,"Terimakasih untuk kalian,sudah membuat bangga.... sampai terharu 🇮🇩❤️🥇"
chan Eun woo,Terimakasih Tuhan😭
Eka Zidni,"Selamat untuk gracia dan apriani, ini adalah kado terindah buat bangsa indonesia#indonesiajuara"
Edi Saputra,Mnetes air mta melihat ini merh putih berkirbar di ngri orng no 1 plingg tinngi. Trima kasih buat atlit indonesia terhru ya Allah
Andini Mayang sari,"2,2 jt x ditonton dalam 7 jam dan TRENDINGGG No.1👏👏👏

-02/08/2021"
Suci Nurul Aulia,Terimakasih ya allah  engkau lancarkn saudara kami disnaa😭😭
Tepi Suhendra,"Alhamdulillah ya Alloh... 🤲
Dengan ijinmu akhirnya Indonesia meraih medali 🏅 Emas.
Terimakasih Apriyani & Greysia 🙏"
tama,"Nangis di konser ngeliat abang2 yg joget ❌
Nangis melihat perjuangan anak bangsa yg sukses meraih medali emas dan membanggakan Indonesia ✔"
hele na,"Ahh tears of Joy
Congratulations to both you, We loves ❤️"
ochaky nugroho,"The greatest immune booster for all indonesian,  thank you and congratulations for Grace and Apri you are awesome! We are the one we are 🇮🇩"
MarGinsu,"Harusnya yg seperti ini trending cuk.. Bukan postingan2 artis lg kawin, la hamil, lg melahirkan, punya sapi, dll"
Kopi Hitam,Suara presenternya yg bikin merinding cek
Mardhotilah 98,"Masyaallah tabarakallah terharu bgt , Indonesia kita menang Yeay 😍 bravo 👋👋"
Rio Tristanto,Sumpah merinding banget pas digame pertama. Alhamdulillah menang. Selamat buat Apri & Grace 🙏🙏 proud of you two
Arizki 99,Mantapppp... Trimakasihhh khususnya buat sluruh atlet yg berpartisipasi dalam olimpiade 😇 smoga tambah jayaaaaaaa...
Danti Wiji,"Hebaaat!! Bener bener mengharumkan nama Indonesia. Terharu bangeeet, seneng, bangga sampe merinding 😭😭"
Agus Tina,Aku menonton sampe teriak biar tetangga marah juga yg penting juara the best
Azzahra Nur Hasanah,Selamat untuk kalian semangat terus ya❤🥳
Ryan T05,"Subhanallaaah...
Terharu luar biasaaa.......
Alhamdulillaah...."
Aries chanel,Hadiah terindah untuk ulang tahun INDONESIA 17Agustus nanti
Okky Surbakti,"HALLELUJAH,, GLORY TO GOD,,, TRIMAKASIH TUHAN. DARAH KEBANGSAAN KU BANGKIT MELIHAT INI. TERHARU,,, 😭😭😭😭👍👍👍👍👍TRIMAKASIH SRIKANDI SRIKANDI INDONESIA,, I LOVE YOU FULL, 😍😘🤗🌈🙏🏻"
apaan loe,"Masa yg begini ga bisa trending sedgkan yg ga berfaedah bisa""nya trending 😭"
Agung Ramadan,"Alhamdulillah, subhanallah, terimakasih Aprilia & G.poli, kami bangga, Indonesia bangga, ditengah ujian pandemi ini, kalian jd obat penghibur bagi negara kita, semoga tetap bersyukur dan rendah hati, semangat untuk para pahlawan atlet Indonesia, kami cinta kalian.. Indonesia juara, Indonesia berkibar Indonesia sehat..."
Charles S,"TUHAN YESUS menyertai umat Kristiani, sy bangga akan kemenangan kalian."
king kong,0:28 moment ketika semua menjadi nyata. 😭😭
Nailassirri Ariati,"Aku kok nangiss yaaa :"""""""""
Saidil Mustafa,Saya bangga saya terharu maksih kalian udah membuat kita bangga dan akan menjadi kado terindah HUT RI
Satria YT Official,Merinding anjirrr....
Murni Jernita,"Siapa disini Badminton Lovers, tpi gk bisa main🤧🤧🤧
  Hayoo ngakuuu😭😭😭😭"
Indri astuti,Allahuakbar...ikut menangisss 😭😭😭😭 selamattt yaa kakak..kakakuuu 💪💪💪💪
Yonathan Alexander,Senam jantung nontonnya 🤣
Cow Cow,"Terima kasih GreyAp
Terima kasih Greysia Polii
Terima kasih Apriani Rahayu"
Apat salaas 93,.... Ini lah kerja keras saudara kita ... Bravo buat atlet kita semua nya salam NKRI 🤝💪
Dekkuliner,"Nangis bgt liat ini. SO PROUDDDD, TERIMA KASIH BANYAK ❤️❤️"
Lisa Listiawati,I'm proud of you!!! Congratulations!!🥺🤍
hari copy,Kado istimewa Di bulan Agustus..merah putih berkibar
AYUNI SUGANDI,😭😭😭😭😭😭alhamdulillah masya Allah terimakasih duo srikandi Indonesia
Ratna Rich,Trimakasih kk yg sudah berjuang di Olimpiade 2020 dan dapat mendali emas utk hadiah di Hari kemerdekaan RI ❤❤❤❤
Moch Ridwan Khoerudin,TERIMAKASIIIH KALIAN ❤️❤️❤️ Kado HUT RI 76 😍 KAMI BANGGA
Bang Jack,"God job telah mengharumkan Indonesia ✌️✌️
Kalau suka like nya teman 2"
Fauzan Alfi hidayat,Ahkirnya Indonesia mendapat mendali emas yang pertama selamat 👍👍👍
Kartika Puspitasari,2:25 baru ngeh Apri ngalungin bando nya Greys😆😆
HM SPORTS,"Detik-detik Indonesia menang full-match, silahkan mampir ya"
Elea Gading,TERIMA KASIH PAHLAWAN KU...HANYA ITU YG BISA SAYA SAMPAIKAN.
fangirl nunaa,"ALHAMDULILLAH YA ALLAH😭
TERIMA KASIH SUATU KEBANGGAAN UNTUK NEGERIKU TERCINTA 🇮🇩❤🤍

HADIAH DIRGAHAYU RI KE 76TH-!!😍"
Agus Elly,Trimakasih buat Srikandi Indonesia 1 love you
Agus Salim,"Selamat GreyAp, selamat Indonesia..."
Lilis Sur,Selamat Apriyani dan gres terimakasih pahlawan pahlawanku
Ade Irwansyah,Kado terindah untuk NKRI tercinta
Ali Zelzal Katyuza,"Terimakasih Mbakbro, 
Indonesia Raya Berkumandang Di Bumi Kaisar Hirohito. 
Seiring Bermekarnya Bunga Sakura."
Fandi Andi,Terimakasih para pejuang 🇮🇩🇮🇩 🙂🙂
Selpianti Amrullah,"Mengukir Sejarah Ganda Putri Peraih Medali Emas, Congrats Greysia Polli & Apriyani Rahayu, Merdekaaaaaa 🇮🇩🔥❤️"
Mugipriono mugi,Ya Allah.. Selamat buat ganda putri.. Selamat untuk Indonesia.. Aku ikut nangis bahagia.. 💪💪💪🇲🇨
steven thereds,"Akhirnya sejrah ganda putri dapat emas olimpiade, stelah dri putri mati suri bertahun2"
Andhika Rukka,"Gue preman, gue nangis.. 🇮🇩😭"
FJ yoyo,Se-studio pada selebrasi kayaknya itu 🔥🔥🔥🔥
Iqbal Nazili,"Ngeliat mereka nangis dari hati dan hasil perjuangan, rasanya jadi agak berkaca-kaca gimana gitu

Bangga sama kalian
Luar biasa"
K1mm. Official,"Teriakan bung valent emang the best,jujur ketegangan gw lepas pas dia teriak"
noor hamimah,Alhamdulillah Ya Allah jadi ikut nangis terharu melihatnya... 😭😭😭
Hajar aswar rahmat,Terharu melihat perjuangan Srikandi Indonesia ❤️❤️🔥🔥🇮🇩🇮🇩
Rizky Cakka,"Indonesia sangat bangga dengan prestasi kalian ... 
Congratsss ❤️ ❤️❤️"
Natalius Siregar,"Putranya gak bisa ngasih medali emas, ganda putri yg tidak diunggulkan memberi emas dan kado terindah dihari kemerdekaan indonesia... 
Selamat buat greysia polli dan apriani rahayu 🇲🇨🇲🇨🇲🇨"
junna creator,"ikut terharu.....melihatnya.
kado spesial HUT KEMERDEKAAN INDONESIA"
Renelda Toffy,"Haleluyaah, sgala kemulian Bagi Tuhan Yesus. Ada kemenangan ditengah badai. Tuhan berkati kedua pemenang dan bangsa kami. Amen🙏🙏🙏😇😇"
Tazkia T.A,"Selamat Greys&Apri Juara Emas Olimpiade Tokyo2020.mencetak sejarah ganda putri kita mendapat medali, Terima kasih.."
Hari Minggu,Ya Allah sampai menetes air mata terharu 😭😍😍😍
Zulfa Rahmawati,keren banget!! bangga banget masyaaallah selamat indonesia❤️🔥
Muhammad Muhtar Official,"Momen the best dan mengharukan 😭😭 kami bangga punya atlit yg berprestasi seperti kalian berdua, terimakasih sudah menyumbangkan medali emas untuk hut RI.☺️☺️😭"
engelbertus tiwu,"Luar biasa GreyAp, terimakasih untuk perjuangannya yg berhasil memberikan emas untuk Indonesia. Harus diakui komentator Bung Valen dan team kali ini juga sangat keren"
Leo Denny,ini juara olimpiade lho. juara dunia! selamat! kami bangga padamu
Muhammad choir,Nonton ulang masih aja nangis gue😭 bangga banget sama mereka❤❤👍
Puji Lestari,"Alhamdulillah atas doa dari penduduk Indonesia dan pejuangan kalian di olimpiade Tokyo2020 Indonesia mendapatkan medali emas dicabang Badminton, sukses terus buat kalian"
VENANTIUS LEON'S Prasetia,Luar biasa....momen ini buatku nangis. Bangga d: mengharukan
Seminar Pendidikan,Air mata selalu keluar setiap nonton walaupun di ulangi terus. bangga
bocah lepas,"Alhamdulillah sejarah baru buat indonesia, saking seneng dan terharu sampe gw ulang² nontonnya"
Just Me,"Kalian memang tim ajaib, tim hebat!!, dari yang bukan unggulan, yang tidak ditargetkan untuk mendapat mendali, jadi TIM JUARA!!!! Terimakasih banyak Greysia Polii dan Apriyani Rahayu! KALIAN HEBAT!!!!"
Rian Hidayat,"Bangga banget sama mereka, sebagai BL sejati saya mengikuti mereka semenjak pertama kali di pasangkan... Terima kasih Greysia Polii/Apriyani Rahayu"
Adela Kamila,ALHAMDULILLAH YA ALLAH SUDAH FEELING MEREKA BAKAL MENANG! BANGGA BANGET SM KAK GREYS DAN KAK APRI TERIMAKASIH ATAS PERJUANGANNYA (LOVE)
Donny Oktofireza,"Momen ini mengguncang seluruh rakyat Indonesia, jarang2 lo komentator nangis...
Luar biasa memang 👏👏👏"
Nanik Rosalia,"Alhamdulillah
Selamat pd kalian berdua, ikut bangga, tak terasa air mata menetes...ikut bahagia."
KADAL TERAKHIR,Sangat bngga..ganda putri membuat sejarah kalian telah menjadi ganda putri indo pertama yg meraih emas olimpic..meskipun peroleh medali saat ini menurun ketimbang tahun 2016..selamat buat kalian🔥🔥🔥🔥🔥
haris primadana,"Terharu mantap 👍
Perjuangan tanpa akhir yang patut dibanggakan ❤️"
Rosita Septi Antikasari,"yok ngumpulin siapa disini yang terharu karena bangga sama mereka berdua, mereka yang mengharumkan nama INDONESIA 🥰😭😭"
Eneng,"Merinding bangat sumpah.. 
Alhamdulillah ya Allah 🤲
Terimakasih Greysia dan Apriyani..
Allahuakbar.. Merdekaaa.."
SDY CHANNEL,"Indonesia sangat bangga. Terima kasih greysiapolli dan apriyani. pasti dari kalian juga ada yang meneteskan air mata, bener ga..."
Ary Putra,Nonton ini berkali kali selalu meneteskan air mata.sallutttt
Ronny Axl,Kado terbaik untuk ulang tahun 17 agustus 2021 🇮🇩
Husna Yasin,Selamat untuk kemenangan ganda putri 😘 sangat terharu ikut menangis bahagia ...😘👍👍
Doni Septian,Bangga sekali lihat perjuangan kalian sukses selalu dan terima kasih telah mengharumkan nama bangsa
kicau lestari,Aku bangga jadi Indonesia. Terimakasih atas perjuangannya..
ria Aulia,"Nonton udh di ulang2, tp tetep aja mewekkkk, ya Allah trimakasih, kemenangan ini utk Indonesia, dan kami menangis krn haru bangga dan bahagia, Selamat utk Greycia dan Rahayu trimakasih atas perjuangan kalian.. Hiduplah Indonesia raya!!!!"
Dika Bae,Duo Sulawesi ( Utara dan tenggara)  best of the best for Champions olympic games.
Widyartii Official,Saya nangis saking terharu dan bangga melihat ini. Terima kasih Srikandi Bulu Tangkis Indonesia
Nur Hasanah,Selamatt buat GreyAp!!🙆💜
BAMBANG,"Bung Valent pun menangis 😭😭
Alhamdulillah.."
Andreas Rudy Lesmana Andreas,Pengen nangis jg liatnya😢. Terharu bget liat prjuangan mreka yang buat Indonesia bangga👍💝👏
Mutmainna Inna_12,"Alhamdulillah ya allah  🤲selamat atas medalu emas polly dan rahayu ❤✨🎉 ,kita semya  sangat bangga pada kalian berdua atas perjuangan nama negara kita indonesia😍❤🇲🇨"
Dina Sopianti,Yaallahhhh Terharuuu bangetttt yaampunn😭💙
Rike Panji Official,Masya Allah merindiiiiing sediiiiih kereeeeeennnnnnn selamatttttttt
Putri Wahyu illahi,"Indonesia bangga, Terimakasih kak GreyAp❤🇮🇩"
Paijo Mas,"Terimakasih Indosiar sudah menayangkan Olimpiade, selamat buat Greysia dan Apriyani, kalian benar benar hebattttttttt, respect❤❤❤"
Emmi Rospita Purba,Terimakasih buat kerja keras dan perjuanganya ikut nangis dan terjadi menyaksikan perjuangan kalian mempersembahkan mendali mas utk Imdonesia
Maldini Jones,Congrats pahlawan2 kebanggaan indonesia...great job
Daeng Imam,"Tak terasa air mataku ikut menetes,bahagia terharu menyaksikan perjuangan mrka berdua.
Ini hadiah Greysia-Apriani buat bangsa ∂άn negara pada HUT RI ke 76."
Nisa DA,Terimakasih perjuangan nya ka Gracia dan Apriyani ❤️❤️❤️
WISNU AFANDY,"Selamat gold medal nya, kado terindah buat HUT RI.."
Melyta Hasty,"Udh nonton di TV tp pengen nonton lagi disini, masih terharu🥺🥺🥰"
yayang lamhot,"gue nonton livestream di video terus nonton ini, akhirnya gue menyadari komentator indonesia lebih seru daripada bule hypenya dapet banget"
Jesica Pratiwi,"menangus terharu aku.. Masyaallah alhamdulillah terimakasih ya allah, selamat dan terimakasih greysia dan apriani klian hebaatt😘😘"
Vikar Aja,"Emosional banget gress nangis nya pecah banget,,, 

Keduanya top 👏👏👏"
Ade Alfath Azmi,Olahraga menyatukan kitaaa ❤️ Indonesia...
Anita Ps,"Bangga banget sm kalian be2, cogratulation :)"
Adhi Prabowo,"Nangis aja, Bro.. ngga apa apa... good tears!"
Ani Mansyur,Ditengah kita lagi kesesakan tuhan kau berikan sebuah kemenangan 😭 nangis kejerr! Bangga bgttt
Adi Dias,"Selamat untuk kalian berdua ,yg telah mghrumkan nm baik dan q bangga jd anak Indonesia👍👍💌"
Dani Ramdani,"Kaliannnnnn luar biasa, meningkatkan imun seluruh rakyat indonesia jadi lebih baik. Mksih perjuangannya."
BLUWXZRAYシ,Mantap terima kasih emasnya Untuk Indonesia ✨✨
Achmad Rifat,Masya Allah ikut meneteskan air mata saking bangga nya 😇 terima kasih kalian sudah memberikan kado terindah di hari Ulang tahun kemerdekaan Indonesia kali ini 🙏🏻🙏🏻🙏🏻
andi silaver,"Wajib trending 1 ini,,jangan berita gak bermutu terus yang trending 1...🇲🇨🇲🇨🇲🇨"
Wirawan Yagus,Terharu 😭. Terimakasih atas perjuangan kalian. Indonesia bangga pada kalian
Yusuf psg,"Ya allah , aku nangis terharu 😭😭😭😭😭"
Rida Ainayah,"Alhamdulillah ,nangis Mulu kalo nonton beski udah beberapa kali 😭❤️"
RioAdani Adani,Masya Allah nangis gue lihtnya trm kasih ganda putri yg telh mengobati jutaaan rakyat yg saat ini menderita karna covid😭🙏🙏
Narti jambak,Masya Allah tabarakallah sangat bangga dan terharu
Dedeh Djubaedah,terharu . terimakasih telah memberikan hadiah terbaik disaat HUT RI yg Ke-76
Melly Meliawati,Congratulation Apriyani Rahayu & Gresiya Polli ❤️
Munayah Nay,Masyaallah merinding liatnya bangga banget 😭😭😭❤️❤️❤️❤️
biola ketipung Sam,Terimah ksih pd pra pejuang atlit indon yg tlah menharumkan nama bangsa indon sy smp nangis melihat detik2 kemenangan indon semoga kalian tetap sehat dan jaya selalu
Mahmud Nurdin,Kuhanya bisa Bersyukur dan Menangis Bahagia...Perjuangan Kalian Luar Biasa😭😭😭💪💪💪
herdi harisandi,Dimana ada niat  dan kerja keras Tuhan pasti kabulkan....
Khaidir 2021,"Luar biasa Rahayu n Polli ,, Selamat atas perjuangan yg tak kenal lelah sebagai kado kemerdekaan RI
Smga kemenangan sebagai penyemangat bg sesama pemain"
Putri Aisyah,Bangga banget ahhh 😭😭😭😭 Ampe nangis tau 😭❤️❤️
Markos Kuansing,"Alhamdulillah,akhirnya indonesia  berhasil memperoleh emas,Selamat atas kemenangan Greysia dan Apriayani semoga tetap mempertahankan prestasinya"
AM officiall,Ada yg sadar ga sih kalau skornya pas banget dngn umur RI nanti 21+21+19+15=76.....kado terindah HUT RI ke 76 tahun😻
Popong Rohaeti,Alhamdulillah ya allah akhirnya indonesia mendapatkan emas pertama.
iwn_sta,Waktu itu pernah filing akan membawa emas soalnya dari awal udh kelihatan mainnya dan ternyata berkat doa dan dukungan seluruh rakyat Indonesia Alhamdulillah menang...
Inge Centya Rossa,Nangissss setiap nonton!😭 Selamattt kak grey dan kak Apri terimakasih sudah berjuang! Terimakasih coach!! Kerenn bangett kebanggaann!😭💖🇮🇩
shanty Mawardi,Nontonnya baper bgt...ya allah bahagia yang tidak bisa di ucapkan dengan kata2 indonesia bangga dengan mu GREYSI POLII & APRIYANI RAHAYU .. I love u
Pranata,Selamat Greysia dan Apriany dan sukses seelalu. Terimakasih untuk Indonesia.
Saul19,"BANGGA terimakasih Greysia Apriyani kalian pantas jadi juara.
SELAMAT go go go..Greyap."
Ugeng Riady,"terselamatkan dengan non unggulan,,,,,, mantap !!!! merdeka!!!!"
bank kenz,"Selamat poli dan rahayu, atas kemenangan kalian
Smpai nangis nontonnya😭"
Irgi Pratama,"Ya Allah sy liat ini nangisss,terharuuuu,, indonesia hebattt ❤️❤️❤️😘😘😘"
Tinres Tutorial,"Alhamdulillah.
Terima kasih buat 2 Wanita hebat 🥰🥰"
Syauqi fadil nurahman,Kado teristimewa di HUT Indonesia
Nurul Hikmah,Gue nonton nya sampe mewek saking terharu dan bangga nya sama mereka♥️♥️♥️♥️
Ahmad Dani,"Dia yang menang, gua yang mewek nangis😭"
Siti Nurhidayati,Alhamdulillah. Indonesia is the best
Izah,"Allhmdulilah ikut senang dan gembira bngt Greysia poli & Apriyani Rahayu ,mnjdi juara d prtandingn badminton ganda putri ini  ❤️"
Pandatang Baru,Awal jadi rangking 1 dunia ♥️.. Sikat habis next semua pertandingan 🤝
Nay Lina,"Terimakasih untuk kado terindah nya, utk kemenangan indonesia tahun ini 👏🎉😍"
miranda sijabat,"Keren, merinding 😭❤️"
SmartDo 2877,Bersyukur kepada Allah Yang Maha Esa. Terima-kasih Greysia & Apriyani atas perjuangan kalian. Air mata kemenangan tak tertahankan.
Rahman,"Woowww.. Alhamdulillah ya Allah,, tradisi Emas Olimpiade utk Indonesia.."
Candra Endah,"Ya Alllah,saya menangis terharu,Alhamdulillah ,aku bangga padamu.... ❤️❤️❤️"
lili mustika,Ya Allah alhmdulillah ❤️❤️❤️🙏🙏🙏😭😭
Reni Rahma Channel,Belum bisa move on dari best moment ini.
Naysz yudhi fv,Bhagia bngggtttt ya allah lihatnya  
Dini_ Azzuhroh,banggaaaaa ya Allah🥺❣️❣️❣️😭😭😭
Sandy Cahya,Disuruh NYERAH gc mau ya gini jadinya kalah kan nguras tenaga aja 😂
Andi Nurcahyo,Hadiah terindah untuk Bangsa Indonesia yg akan Berulang Tahun Ke 76
arif prasetyo,"Yaa Alloh Alhamdulillah, Sampai berkaca mata ini"
HDcoreChill_TV,Akhirnya sejarah baru berhasil diukir dengan tinta emas...🏸🥇💪🏽🇲🇨🔥#GreyApFinalTokyo2020
alesana arum,"“atlet indonesia meraih emas dengan tangis , pemerintah indonesia membuang gunung-gunung emas dengan tertawa“
kami bangga dengan para atliet indonesia  👍🏻"
shabrina xii,Alhamdulillah!!! Selamat GreyAp!! Selamat Indonesia 😭😭💕💕
Mariana Riwu,Puji Tuhan ... Terima kasih para pahlawan 🇮🇩❤️🇮🇩
Saiful Amry,Mantap semangat terus indonesia ku 👏🇲🇨🇲🇨🇲🇨🇲🇨
Anggun Nuriyana,Ikut nangis 😭😭😭😭 kata Terimakasih mungkin ngga cukup untuk semua pengorbanan mu ka...
Victor 24,Sekarang Ganti Ganda Putri yang membawa medali emas ke tanah air. Indonesia tet tet tet tettttttttttt....
Al fiand,"Obat penyemangat bagi rakyat Indonesia
Kami bangga pada kalian berdua

Indonesia JUARA🏆"
Muhammad Habib Rinaldi Damanik,"Over over proud of you guys!!! 
Welcome to podcast om deddy😂"
Rusbiyan Toro,"Alhamdulillah lengkap sudah semua lini pernah merasakan emass , glory glory"
Sbri Ferdinand,TERIMAKASIH KALIAN SUDAH MENGHARUMKAN BANGSA INDONESIA🇮🇩
unyu unyu,"RATA KAU
HAJAR BLEHHH
YESSS EMASSSSSSSD🇮🇩🇮🇩🇮🇩
KAMI BANGGA PADAMU GREYAPPPP🇮🇩🇮🇩🇮🇩"
krisna mandala,"Mereka nangis karena perjuangan bukan karna kipas😭
Lariii🏃"
fajar 08,Trending 1 kan semua rakyat indonesia
muel bs,Heran ya moment membanggakan gini..masih ada yg dislike...iri bilang boss
R,I CRIED SO HARD
Anto Susanto,"Sejarah baru Indonesia...
Selamat"
NUR Alisa_TDR,"Alhamdulillah...
Trima kasih Apriyani & Gresya... 
Bangga..."
TOKY BASUKI,"TERIMA KASIH PAHLAWAN ATAS EMAS,NYA....❤❤❤"
Rina Handayani,Banga denganmu.. INDONESIA..yok bisa yok smpe kepucuk
Na2nG Setiawan,"Terharu liat greysia 
Ketawa denger komentatornya
Jdi terharu smbil ketawa"
Anon,Nitip podcast gadis desa ~> https://youtu.be/zfPgUb5ku9E
RIZKY jr,Greyap kebanggaan Indonesia....di saat target emas ganda putra dan tunggal putra gagal...
Suci Nurul Aulia,Nangis dari kalimantan😭😭😭😭😭😭😭
endah taufiq nur safitri,MasyaAllah. Alhamdulillah 😭
Havija Sihotang,"Alhamdulillah... Indonesia
Terimakasih G.Polii/A.Rahayu"
Zaki Hakim,Selamat ya.buat mendalinya.bawa NKRI banggga amiin.
Mr. Dfr,"Mewek di tinggal pacar❌
Mewek liat perjuangan Srikandi terbaik Indonesia merebut medali emas olimpiade 2020✔️

Congratulation and thank you very much Greysia Polii and apriliani Rahayu for today ❤️"
Surya Sukma,"Terima kasih pebulutangkis indonesia  (  apriyani rahayu dan rusia polri) telah mendapatkan medali emas pertama di olimpiade 2020 , maju terus indonesia  dan emas ini sebagai hadiah ulang tahun Indonesia 76 tahun"
Aditya Mahya,"Yg dlu sering di ejek karna inkonsisten, mental sering drop, sekarang malah jadi pahlawan 🇮🇩🇮🇩😭😭, nangiss eih liat nyaa"
Aye Aye,"Nha berita gini ,, no klikbait
INDONESIA
JUARAA"
Nadira Mahila azahra,"2 game d semua laga??
Mengukir banyak sejarah d olimpiade Tokyo"
Jhonson Joe79,"Sialan.. 
Saya yg udah setua ini jadi ikutan nangis gara-gara kalian berdua,, 
Untung gak ada yg liat, kl ada yg liat kan malu.."
Azrianti Caniago,Trima ksh buat pahlawan  olahraga kami.
Firman Syah,"Komentator Indosiar sesuai film nya,ku menangis,lebaaaaaaaaaaayyyyy"
